_time,smBpTestStandLoadTest.State
2022-10-13T00:03:27.204Z,LoadA
2022-10-13T00:04:27.202Z,LoadA
2022-10-13T00:05:18.243Z,LoadA
2022-10-13T00:05:18.342Z,LoadA
2022-10-13T00:25:22.022Z,LoadA
2022-10-13T00:26:22.022Z,LoadA
2022-10-13T00:27:13.222Z,LoadA
2022-10-13T00:27:13.321Z,LoadA
2022-10-13T00:47:14.602Z,LoadA
2022-10-13T00:48:14.621Z,LoadA
2022-10-13T00:48:14.641Z,LoadA
2022-10-13T00:48:14.6Z,LoadB
2022-10-13T00:49:03.861Z,LoadA
2022-10-13T00:49:03.961Z,LoadA
2022-10-13T01:08:57.401Z,LoadA
2022-10-13T01:09:57.401Z,LoadA
2022-10-13T01:10:47.101Z,LoadA
2022-10-13T01:10:47.201Z,LoadA
2022-10-13T01:30:46.32Z,LoadA
2022-10-13T01:31:46.319Z,LoadA
2022-10-13T01:32:35.679Z,LoadA
2022-10-13T01:32:35.78Z,LoadA
2022-10-13T01:52:32.158Z,LoadA
2022-10-13T01:53:32.159Z,LoadA
2022-10-13T01:54:21.659Z,LoadA
2022-10-13T01:54:21.759Z,LoadA
2022-10-13T02:14:07.338Z,LoadA
2022-10-13T02:15:07.338Z,LoadA
2022-10-13T02:15:56.798Z,LoadA
2022-10-13T02:15:56.898Z,LoadA
2022-10-13T02:35:38.558Z,LoadA
2022-10-13T02:36:38.558Z,LoadA
2022-10-13T02:37:28.857Z,LoadA
2022-10-13T02:37:28.958Z,LoadA
2022-10-13T02:57:06.217Z,LoadA
2022-10-13T02:58:06.216Z,LoadA
2022-10-13T02:58:55.616Z,LoadA
2022-10-13T02:58:55.717Z,LoadA
2022-10-13T03:18:29.356Z,LoadA
2022-10-13T03:19:29.357Z,LoadA
2022-10-13T03:20:18.815Z,LoadA
2022-10-13T03:20:18.915Z,LoadA
2022-10-13T03:39:49.255Z,LoadA
2022-10-13T03:40:49.256Z,LoadA
2022-10-13T03:41:38.635Z,LoadA
2022-10-13T03:41:38.734Z,LoadA
2022-10-13T04:00:51.115Z,LoadA
2022-10-13T04:01:51.115Z,LoadA
2022-10-13T04:02:39.734Z,LoadA
2022-10-13T04:02:39.834Z,LoadA
2022-10-13T04:21:46.974Z,LoadA
2022-10-13T04:22:46.973Z,LoadB
2022-10-13T04:22:46.994Z,LoadA
2022-10-13T04:22:47.013Z,LoadA
2022-10-13T04:23:37.294Z,LoadA
2022-10-13T04:23:37.394Z,LoadA
2022-10-13T04:42:45.973Z,LoadA
2022-10-13T04:43:45.972Z,LoadA
2022-10-13T04:44:36.952Z,LoadA
2022-10-13T04:44:37.052Z,LoadA
2022-10-13T05:03:31.692Z,LoadA
2022-10-13T05:04:31.691Z,LoadA
2022-10-13T05:05:20.073Z,LoadA
2022-10-13T05:05:20.172Z,LoadA
2022-10-13T05:24:19.391Z,LoadA
2022-10-13T05:25:19.392Z,LoadA
2022-10-13T05:26:09.831Z,LoadA
2022-10-13T05:26:09.932Z,LoadA
2022-10-13T05:45:19.311Z,LoadA
2022-10-13T05:46:19.31Z,LoadA
2022-10-13T05:47:09.23Z,LoadA
2022-10-13T05:47:09.33Z,LoadA
2022-10-13T06:06:14.09Z,LoadA
2022-10-13T06:07:14.09Z,LoadA
2022-10-13T06:08:03.81Z,LoadA
2022-10-13T06:08:03.91Z,LoadA
2022-10-13T06:27:13.829Z,LoadA
2022-10-13T06:28:13.83Z,LoadA
2022-10-13T06:29:02.989Z,LoadA
2022-10-13T06:29:03.088Z,LoadA
2022-10-13T06:48:07.749Z,LoadA
2022-10-13T06:49:07.748Z,LoadA
2022-10-13T06:49:57.209Z,LoadA
2022-10-13T06:49:57.309Z,LoadA
2022-10-13T06:53:07.489Z,WaitTestStandStopped
2022-10-13T06:53:09.589Z,Idle
2022-10-13T11:20:26.991876Z,Idle
2022-10-13T14:23:45.100552Z,Idle
2022-10-13T14:27:00.761Z,WaitBoostersRunning
2022-10-13T14:27:01.302Z,LoadA
2022-10-13T14:27:01.321Z,LoadA
2022-10-13T14:27:20.042Z,Idle
2022-10-13T14:34:38.062Z,WaitBoostersRunning
2022-10-13T14:34:38.601Z,LoadA
2022-10-13T14:34:38.621Z,LoadA
2022-10-13T14:34:39.042Z,LoadA
2022-10-13T14:34:39.142Z,LoadA
2022-10-13T14:38:15.381653Z,Idle
